demo_id,demo_date,demo_year,demo_month,demo_month_name,demo_quarter,day_of_week,hour_of_day,is_weekend,market,region,market_size,vehicle_model,vehicle_id,vehicle_price,customer_segment,drive_duration_mins,utilization_rate,converted,conversion_probability,days_to_purchase,satisfaction_score,revenue_generated,demo_cost
DEMO-000012,2024-09-26,2024,9,September,Q3,Thursday,19,0,"Phoenix, AZ",Southwest,Medium,Model Y,PHO-MOD-02,43990,Fleet/Business Buyer,57,0.885,0,0.2446,,3.7,0,70.56
DEMO-000013,2024-06-14,2024,6,June,Q2,Friday,14,0,"Denver, CO",Mountain,Medium,Model 3,DEN-MOD-01,40240,Eco Conscious,51,0.749,0,0.2696,,4.1,0,49.47
DEMO-000014,2024-11-10,2024,11,November,Q4,Sunday,12,1,"Miami, FL",Southeast,Large,Cybertruck,MIA-CYB-02,49890,First Time EV,52,0.493,0,0.149,,4.1,0,47.77
DEMO-000015,2025-11-06,2025,11,November,Q4,Thursday,14,0,"Portland, OR",Northwest,Small,Model Y,POR-MOD-07,43990,Tech Early Adopter,46,0.932,1,0.2972,6.0,5.0,43990,72.59
DEMO-000016,2025-10-27,2025,10,October,Q4,Monday,13,0,"Boston, MA",Northeast,Medium,Model Y,BOS-MOD-04,43990,Fleet/Business Buyer,44,0.562,0,0.3015,,3.8,0,68.53
DEMO-000017,2025-12-25,2025,12,December,Q4,Thursday,15,0,"Dallas, TX",South,Large,Model Y,DAL-MOD-06,43990,Tech Early Adopter,61,0.485,0,0.214,,3.6,0,71.76
DEMO-000018,2025-08-07,2025,8,August,Q3,Thursday,14,0,"Dallas, TX",South,Large,Model Y,DAL-MOD-07,43990,Cost Conscious,48,0.545,0,0.1257,,3.4,0,62.24
DEMO-000019,2024-02-25,2024,2,February,Q1,Sunday,15,1,"New York, NY",Northeast,Large,Model Y,NEW-MOD-07,43990,First Time EV,50,0.814,1,0.2041,11.0,5.0,43990,52.66
DEMO-000020,2024-10-12,2024,10,October,Q4,Saturday,13,1,"Seattle, WA",Northwest,Medium,Model Y,SEA-MOD-02,43990,Luxury Buyer,38,0.475,1,0.3664,1.0,5.0,43990,83.76
DEMO-000021,2025-02-20,2025,2,February,Q1,Thursday,14,0,"San Diego, CA",West,Medium,Model X,SAN-MOD-01,79990,Eco Conscious,50,0.532,0,0.1384,,3.2,0,60.62
DEMO-000022,2025-03-09,2025,3,March,Q1,Sunday,15,1,"San Diego, CA",West,Medium,Model X,SAN-MOD-08,79990,Luxury Buyer,63,0.527,0,0.1919,,3.7,0,83.75
DEMO-000023,2024-11-17,2024,11,November,Q4,Sunday,10,1,"Denver, CO",Mountain,Medium,Model S,DEN-MOD-03,74990,Tech Early Adopter,50,0.478,0,0.2354,,4.1,0,79.05
DEMO-000024,2024-08-28,2024,8,August,Q3,Wednesday,13,0,"San Francisco, CA",West,Large,Model Y,SAN-MOD-01,43990,Cost Conscious,47,0.76,0,0.191,,4.0,0,68.35
DEMO-000025,2025-11-16,2025,11,November,Q4,Sunday,16,1,"Seattle, WA",Northwest,Medium,Model Y,SEA-MOD-05,43990,Eco Conscious,45,0.679,0,0.2915,,4.9,0,82.43
DEMO-000026,2024-04-12,2024,4,April,Q2,Friday,10,0,"Los Angeles, CA",West,Large,Model Y,LOS-MOD-06,43990,Fleet/Business Buyer,64,0.89,0,0.2533,,4.8,0,59.78
DEMO-000027,2024-11-05,2024,11,November,Q4,Tuesday,15,0,"Phoenix, AZ",Southwest,Medium,Model Y,PHO-MOD-01,43990,Luxury Buyer,49,0.784,0,0.1873,,4.2,0,82.27
DEMO-000028,2024-04-28,2024,4,April,Q2,Sunday,17,1,"San Francisco, CA",West,Large,Cybertruck,SAN-CYB-05,49890,Tech Early Adopter,56,0.752,1,0.456,1.0,4.9,49890,70.37
DEMO-000029,2024-02-22,2024,2,February,Q1,Thursday,10,0,"Austin, TX",South,Medium,Model Y,AUS-MOD-01,43990,Eco Conscious,48,0.617,0,0.2169,,3.4,0,84.19
DEMO-000030,2025-03-13,2025,3,March,Q1,Thursday,14,0,"Phoenix, AZ",Southwest,Medium,Model S,PHO-MOD-03,74990,Cost Conscious,58,0.723,0,0.07,,4.7,0,68.3
DEMO-000031,2025-01-08,2025,1,January,Q1,Wednesday,18,0,"Phoenix, AZ",Southwest,Medium,Model Y,PHO-MOD-06,43990,Tech Early Adopter,39,0.555,0,0.2091,,3.6,0,49.11
DEMO-000032,2025-09-27,2025,9,September,Q3,Saturday,16,1,"Portland, OR",Northwest,Small,Model Y,POR-MOD-03,43990,First Time EV,58,0.938,1,0.3017,9.0,5.0,43990,45.99
DEMO-000033,2025-02-25,2025,2,February,Q1,Tuesday,17,0,"Boston, MA",Northeast,Medium,Cybertruck,BOS-CYB-05,49890,First Time EV,54,0.53,0,0.1875,,4.5,0,60.3
DEMO-000034,2025-04-16,2025,4,April,Q2,Wednesday,13,0,"Los Angeles, CA",West,Large,Cybertruck,LOS-CYB-04,49890,Eco Conscious,66,0.462,0,0.3083,,3.5,0,58.13
DEMO-000035,2024-12-25,2024,12,December,Q4,Wednesday,15,0,"Las Vegas, NV",West,Medium,Model 3,LAS-MOD-06,40240,First Time EV,50,0.92,0,0.0896,,3.4,0,83.82
DEMO-000036,2024-02-09,2024,2,February,Q1,Friday,10,0,"Phoenix, AZ",Southwest,Medium,Model Y,PHO-MOD-06,43990,Fleet/Business Buyer,51,0.668,0,0.1817,,5.0,0,49.63
DEMO-000037,2025-12-26,2025,12,December,Q4,Friday,13,0,"San Diego, CA",West,Medium,Model Y,SAN-MOD-04,43990,Eco Conscious,49,0.632,0,0.2364,,3.3,0,71.57
DEMO-000038,2024-05-07,2024,5,May,Q2,Tuesday,16,0,"Miami, FL",Southeast,Large,Model Y,MIA-MOD-07,43990,Cost Conscious,47,0.613,0,0.116,,4.5,0,67.18
DEMO-000039,2025-11-24,2025,11,November,Q4,Monday,16,0,"Dallas, TX",South,Large,Model Y,DAL-MOD-07,43990,Fleet/Business Buyer,38,0.724,0,0.1913,,3.2,0,56.48
DEMO-000040,2024-11-25,2024,11,November,Q4,Monday,13,0,"New York, NY",Northeast,Large,Model X,NEW-MOD-08,79990,Cost Conscious,54,0.847,0,0.0794,,4.9,0,74.44
DEMO-000041,2025-10-10,2025,10,October,Q4,Friday,15,0,"Atlanta, GA",Southeast,Medium,Model 3,ATL-MOD-04,40240,Luxury Buyer,41,0.786,0,0.1186,,3.6,0,52.97
DEMO-000042,2025-09-17,2025,9,September,Q3,Wednesday,17,0,"Los Angeles, CA",West,Large,Model 3,LOS-MOD-04,40240,Fleet/Business Buyer,53,0.809,0,0.2027,,3.9,0,60.99
DEMO-000043,2024-04-19,2024,4,April,Q2,Friday,16,0,"Phoenix, AZ",Southwest,Medium,Model S,PHO-MOD-08,74990,Tech Early Adopter,57,0.475,0,0.1616,,3.6,0,78.93
DEMO-000044,2025-06-27,2025,6,June,Q2,Friday,19,0,"Chicago, IL",Midwest,Large,Model 3,CHI-MOD-08,40240,Luxury Buyer,30,0.756,0,0.1564,,4.5,0,65.19
DEMO-000045,2024-06-11,2024,6,June,Q2,Tuesday,16,0,"Las Vegas, NV",West,Medium,Cybertruck,LAS-CYB-04,49890,Luxury Buyer,67,0.87,0,0.1682,,3.7,0,76.11
DEMO-000046,2024-03-20,2024,3,March,Q1,Wednesday,16,0,"Chicago, IL",Midwest,Large,Model Y,CHI-MOD-02,43990,Eco Conscious,46,0.519,0,0.1617,,3.6,0,72.76
DEMO-000047,2024-12-04,2024,12,December,Q4,Wednesday,14,0,"Boston, MA",Northeast,Medium,Model 3,BOS-MOD-07,40240,Luxury Buyer,39,0.645,0,0.1671,,4.6,0,82.84
DEMO-000048,2025-01-24,2025,1,January,Q1,Friday,14,0,"Los Angeles, CA",West,Large,Cybertruck,LOS-CYB-07,49890,First Time EV,69,0.877,0,0.1847,,4.9,0,61.76
DEMO-000049,2024-08-13,2024,8,August,Q3,Tuesday,14,0,"Boston, MA",Northeast,Medium,Model S,BOS-MOD-07,74990,First Time EV,63,0.618,0,0.1317,,4.4,0,61.17
DEMO-000050,2025-09-29,2025,9,September,Q3,Monday,14,0,"Phoenix, AZ",Southwest,Medium,Model X,PHO-MOD-01,79990,Fleet/Business Buyer,67,0.492,0,0.1736,,4.0,0,79.67
DEMO-000051,2024-08-04,2024,8,August,Q3,Sunday,13,1,"Phoenix, AZ",Southwest,Medium,Model 3,PHO-MOD-05,40240,Eco Conscious,38,0.826,0,0.2083,,4.7,0,55.09
DEMO-000052,2024-02-23,2024,2,February,Q1,Friday,19,0,"San Francisco, CA",West,Large,Model Y,SAN-MOD-01,43990,Cost Conscious,47,0.827,0,0.1292,,4.9,0,52.97
DEMO-000053,2025-04-29,2025,4,April,Q2,Tuesday,15,0,"Los Angeles, CA",West,Large,Model Y,LOS-MOD-05,43990,Eco Conscious,52,0.833,1,0.2678,5.0,4.1,43990,74.92
DEMO-000054,2024-11-14,2024,11,November,Q4,Thursday,10,0,"San Francisco, CA",West,Large,Model X,SAN-MOD-07,79990,Tech Early Adopter,67,0.648,0,0.165,,4.5,0,48.04
DEMO-000055,2025-12-14,2025,12,December,Q4,Sunday,16,1,"Boston, MA",Northeast,Medium,Model X,BOS-MOD-02,79990,Eco Conscious,58,0.848,0,0.2004,,4.2,0,46.64
DEMO-000056,2025-06-02,2025,6,June,Q2,Monday,15,0,"Seattle, WA",Northwest,Medium,Model Y,SEA-MOD-08,43990,Eco Conscious,46,0.503,0,0.2809,,4.9,0,70.42
DEMO-000057,2024-06-29,2024,6,June,Q2,Saturday,16,1,"Las Vegas, NV",West,Medium,Model Y,LAS-MOD-08,43990,Tech Early Adopter,59,0.682,0,0.2685,,4.7,0,68.7
DEMO-000058,2024-03-29,2024,3,March,Q1,Friday,12,0,"Miami, FL",Southeast,Large,Cybertruck,MIA-CYB-07,49890,First Time EV,57,0.618,0,0.1456,,4.1,0,58.0
DEMO-000059,2024-12-14,2024,12,December,Q4,Saturday,12,1,"Chicago, IL",Midwest,Large,Model 3,CHI-MOD-01,40240,First Time EV,51,0.708,0,0.1271,,3.5,0,54.65
DEMO-000060,2025-12-08,2025,12,December,Q4,Monday,14,0,"New York, NY",Northeast,Large,Model Y,NEW-MOD-01,43990,First Time EV,52,0.497,0,0.17,,3.6,0,72.67
DEMO-000061,2025-07-20,2025,7,July,Q3,Sunday,14,1,"Austin, TX",South,Medium,Model S,AUS-MOD-06,74990,Eco Conscious,46,0.626,0,0.2227,,4.0,0,57.26
DEMO-000062,2024-05-02,2024,5,May,Q2,Thursday,16,0,"Dallas, TX",South,Large,Model 3,DAL-MOD-04,40240,Tech Early Adopter,44,0.558,0,0.2788,,4.1,0,73.98
DEMO-000063,2024-04-12,2024,4,April,Q2,Friday,17,0,"Portland, OR",Northwest,Small,Model Y,POR-MOD-05,43990,Eco Conscious,57,0.457,0,0.2896,,4.2,0,55.97
DEMO-000064,2024-05-09,2024,5,May,Q2,Thursday,15,0,"Los Angeles, CA",West,Large,Model Y,LOS-MOD-01,43990,Cost Conscious,56,0.737,1,0.1696,10.0,4.5,43990,52.37
DEMO-000065,2024-04-26,2024,4,April,Q2,Friday,17,0,"Los Angeles, CA",West,Large,Model 3,LOS-MOD-01,40240,First Time EV,44,0.526,1,0.1603,9.0,5.0,40240,48.41
DEMO-000066,2025-09-12,2025,9,September,Q3,Friday,15,0,"Dallas, TX",South,Large,Model 3,DAL-MOD-07,40240,First Time EV,57,0.675,0,0.1547,,4.0,0,79.41
DEMO-000067,2025-09-16,2025,9,September,Q3,Tuesday,19,0,"New York, NY",Northeast,Large,Model Y,NEW-MOD-04,43990,Cost Conscious,46,0.582,0,0.1232,,3.3,0,54.59
DEMO-000068,2025-04-06,2025,4,April,Q2,Sunday,15,1,"Seattle, WA",Northwest,Medium,Model 3,SEA-MOD-05,40240,Tech Early Adopter,44,0.803,1,0.3589,2.0,5.0,40240,72.5
DEMO-000069,2025-08-26,2025,8,August,Q3,Tuesday,15,0,"San Diego, CA",West,Medium,Model 3,SAN-MOD-04,40240,First Time EV,45,0.774,0,0.1966,,4.8,0,78.07
DEMO-000070,2025-09-01,2025,9,September,Q3,Monday,16,0,"San Francisco, CA",West,Large,Model 3,SAN-MOD-02,40240,First Time EV,42,0.684,0,0.1888,,3.7,0,61.1
DEMO-000071,2024-03-23,2024,3,March,Q1,Saturday,15,1,"Austin, TX",South,Medium,Model Y,AUS-MOD-05,43990,Luxury Buyer,50,0.463,0,0.2937,,3.6,0,71.97
DEMO-000072,2025-11-19,2025,11,November,Q4,Wednesday,17,0,"Las Vegas, NV",West,Medium,Model Y,LAS-MOD-03,43990,Fleet/Business Buyer,34,0.685,0,0.1549,,4.4,0,81.64
DEMO-000073,2025-05-18,2025,5,May,Q2,Sunday,19,1,"Phoenix, AZ",Southwest,Medium,Cybertruck,PHO-CYB-06,49890,Luxury Buyer,63,0.785,0,0.2604,,4.7,0,58.19
DEMO-000074,2025-02-14,2025,2,February,Q1,Friday,17,0,"Boston, MA",Northeast,Medium,Model Y,BOS-MOD-06,43990,Cost Conscious,52,0.576,0,0.1214,,3.4,0,75.9
DEMO-000075,2025-11-04,2025,11,November,Q4,Tuesday,17,0,"Las Vegas, NV",West,Medium,Model Y,LAS-MOD-06,43990,Fleet/Business Buyer,61,0.761,1,0.1497,4.0,4.6,43990,47.06
DEMO-000076,2025-03-24,2025,3,March,Q1,Monday,17,0,"Austin, TX",South,Medium,Model Y,AUS-MOD-04,43990,Fleet/Business Buyer,45,0.805,1,0.2604,1.0,4.1,43990,61.32
DEMO-000077,2025-04-17,2025,4,April,Q2,Thursday,18,0,"Dallas, TX",South,Large,Cybertruck,DAL-CYB-05,49890,Fleet/Business Buyer,58,0.704,1,0.2829,32.0,4.4,49890,84.21
DEMO-000078,2024-07-14,2024,7,July,Q3,Sunday,18,1,"Dallas, TX",South,Large,Model Y,DAL-MOD-02,43990,Tech Early Adopter,45,0.588,0,0.3154,,4.6,0,61.6
DEMO-000079,2024-01-03,2024,1,January,Q1,Wednesday,12,0,"San Diego, CA",West,Medium,Model X,SAN-MOD-08,79990,Eco Conscious,64,0.883,0,0.1373,,4.0,0,64.37
DEMO-000080,2025-04-11,2025,4,April,Q2,Friday,18,0,"Miami, FL",Southeast,Large,Model Y,MIA-MOD-04,43990,Luxury Buyer,59,0.736,0,0.2052,,3.6,0,76.02
DEMO-000081,2025-01-25,2025,1,January,Q1,Saturday,13,1,"Los Angeles, CA",West,Large,Model Y,LOS-MOD-03,43990,Luxury Buyer,52,0.698,0,0.2282,,3.3,0,65.09
DEMO-000082,2025-03-26,2025,3,March,Q1,Wednesday,10,0,"Denver, CO",Mountain,Medium,Model Y,DEN-MOD-03,43990,Tech Early Adopter,52,0.655,1,0.3288,3.0,4.8,43990,63.78
DEMO-000083,2025-10-27,2025,10,October,Q4,Monday,10,0,"Austin, TX",South,Medium,Model Y,AUS-MOD-07,43990,Cost Conscious,50,0.927,0,0.1421,,4.3,0,80.5
DEMO-000084,2024-03-11,2024,3,March,Q1,Monday,12,0,"Chicago, IL",Midwest,Large,Cybertruck,CHI-CYB-04,49890,Tech Early Adopter,72,0.823,0,0.2249,,4.0,0,48.94
DEMO-000085,2024-06-19,2024,6,June,Q2,Wednesday,15,0,"Atlanta, GA",Southeast,Medium,Model S,ATL-MOD-01,74990,Tech Early Adopter,49,0.597,1,0.1713,4.0,4.3,74990,66.25
DEMO-000086,2024-06-28,2024,6,June,Q2,Friday,10,0,"Denver, CO",Mountain,Medium,Model S,DEN-MOD-04,74990,Tech Early Adopter,52,0.699,0,0.2654,,4.2,0,54.29
DEMO-000087,2024-01-10,2024,1,January,Q1,Wednesday,18,0,"Atlanta, GA",Southeast,Medium,Model 3,ATL-MOD-03,40240,Eco Conscious,55,0.487,0,0.1197,,4.9,0,84.51
DEMO-000088,2024-09-13,2024,9,September,Q3,Friday,13,0,"Austin, TX",South,Medium,Model S,AUS-MOD-08,74990,Luxury Buyer,52,0.503,0,0.1647,,3.9,0,59.36
DEMO-000089,2025-11-05,2025,11,November,Q4,Wednesday,13,0,"Austin, TX",South,Medium,Cybertruck,AUS-CYB-01,49890,Eco Conscious,43,0.905,0,0.2097,,4.5,0,78.31
DEMO-000090,2025-09-13,2025,9,September,Q3,Saturday,17,1,"San Diego, CA",West,Medium,Model Y,SAN-MOD-05,43990,First Time EV,52,0.789,1,0.2178,4.0,5.0,43990,78.53
DEMO-000091,2024-02-10,2024,2,February,Q1,Saturday,12,1,"Atlanta, GA",Southeast,Medium,Model 3,ATL-MOD-03,40240,Cost Conscious,42,0.495,0,0.0817,,3.7,0,74.9
DEMO-000092,2025-01-09,2025,1,January,Q1,Thursday,14,0,"Phoenix, AZ",Southwest,Medium,Model 3,PHO-MOD-05,40240,First Time EV,38,0.907,0,0.1198,,4.9,0,83.7
DEMO-000093,2024-04-27,2024,4,April,Q2,Saturday,13,1,"Austin, TX",South,Medium,Model S,AUS-MOD-04,74990,Eco Conscious,53,0.88,0,0.2026,,4.5,0,84.2
DEMO-000094,2025-02-08,2025,2,February,Q1,Saturday,9,1,"Las Vegas, NV",West,Medium,Model X,LAS-MOD-05,79990,Eco Conscious,63,0.742,0,0.1129,,4.7,0,82.61
DEMO-000095,2025-09-26,2025,9,September,Q3,Friday,17,0,"San Francisco, CA",West,Large,Model S,SAN-MOD-04,74990,Luxury Buyer,70,0.774,0,0.1932,,4.3,0,63.57
DEMO-000096,2024-05-23,2024,5,May,Q2,Thursday,9,0,"Boston, MA",Northeast,Medium,Model Y,BOS-MOD-02,43990,Luxury Buyer,51,0.499,0,0.2168,,4.8,0,50.43
DEMO-000097,2025-12-14,2025,12,December,Q4,Sunday,18,1,"Chicago, IL",Midwest,Large,Model Y,CHI-MOD-03,43990,Fleet/Business Buyer,52,0.893,0,0.2021,,4.4,0,78.35
DEMO-000098,2024-02-03,2024,2,February,Q1,Saturday,15,1,"Denver, CO",Mountain,Medium,Model Y,DEN-MOD-04,43990,Fleet/Business Buyer,49,0.878,0,0.2633,,3.4,0,72.43
DEMO-000099,2024-03-03,2024,3,March,Q1,Sunday,13,1,"Seattle, WA",Northwest,Medium,Cybertruck,SEA-CYB-08,49890,Cost Conscious,49,0.496,1,0.1865,5.0,4.2,49890,83.84
DEMO-000100,2024-05-08,2024,5,May,Q2,Wednesday,16,0,"Los Angeles, CA",West,Large,Model X,LOS-MOD-04,79990,Eco Conscious,59,0.743,0,0.1743,,4.7,0,54.32
DEMO-000101,2024-01-03,2024,1,January,Q1,Wednesday,12,0,"Portland, OR",Northwest,Small,Model 3,POR-MOD-05,40240,Fleet/Business Buyer,45,0.849,0,0.2464,,3.4,0,79.66
DEMO-000102,2024-08-31,2024,8,August,Q3,Saturday,14,1,"Phoenix, AZ",Southwest,Medium,Model 3,PHO-MOD-03,40240,First Time EV,41,0.821,0,0.1389,,4.1,0,74.83
DEMO-000103,2025-08-30,2025,8,August,Q3,Saturday,10,1,"Chicago, IL",Midwest,Large,Model Y,CHI-MOD-01,43990,Eco Conscious,44,0.814,0,0.2316,,4.8,0,71.36
DEMO-000104,2024-03-03,2024,3,March,Q1,Sunday,19,1,"Austin, TX",South,Medium,Model Y,AUS-MOD-02,43990,Fleet/Business Buyer,50,0.695,0,0.3409,,4.8,0,47.94
DEMO-000105,2024-05-09,2024,5,May,Q2,Thursday,12,0,"San Francisco, CA",West,Large,Model Y,SAN-MOD-06,43990,Tech Early Adopter,53,0.64,0,0.3732,,4.3,0,56.8
DEMO-000106,2025-12-19,2025,12,December,Q4,Friday,10,0,"Seattle, WA",Northwest,Medium,Model Y,SEA-MOD-04,43990,Tech Early Adopter,47,0.665,0,0.325,,4.8,0,61.55
DEMO-000107,2024-04-07,2024,4,April,Q2,Sunday,12,1,"Las Vegas, NV",West,Medium,Model Y,LAS-MOD-03,43990,Luxury Buyer,45,0.793,0,0.1715,,4.1,0,48.65
DEMO-000108,2025-01-16,2025,1,January,Q1,Thursday,17,0,"San Francisco, CA",West,Large,Model 3,SAN-MOD-06,40240,Tech Early Adopter,41,0.785,0,0.2263,,3.9,0,79.94
DEMO-000109,2024-02-22,2024,2,February,Q1,Thursday,19,0,"Portland, OR",Northwest,Small,Model Y,POR-MOD-04,43990,Fleet/Business Buyer,52,0.527,0,0.2713,,4.1,0,78.89
DEMO-000110,2024-10-12,2024,10,October,Q4,Saturday,14,1,"Miami, FL",Southeast,Large,Model X,MIA-MOD-01,79990,Eco Conscious,59,0.754,0,0.1757,,4.4,0,72.74
DEMO-000111,2024-11-12,2024,11,November,Q4,Tuesday,18,0,"Los Angeles, CA",West,Large,Model 3,LOS-MOD-03,40240,Cost Conscious,51,0.733,0,0.1002,,3.9,0,50.67
DEMO-000112,2025-06-27,2025,6,June,Q2,Friday,11,0,"Atlanta, GA",Southeast,Medium,Cybertruck,ATL-CYB-06,49890,Tech Early Adopter,55,0.606,0,0.2225,,3.8,0,82.66
DEMO-000113,2024-06-10,2024,6,June,Q2,Monday,16,0,"Denver, CO",Mountain,Medium,Model 3,DEN-MOD-08,40240,Tech Early Adopter,38,0.781,1,0.2438,16.0,4.6,40240,55.93
DEMO-000114,2024-04-23,2024,4,April,Q2,Tuesday,12,0,"Portland, OR",Northwest,Small,Model Y,POR-MOD-05,43990,Eco Conscious,56,0.473,0,0.325,,3.9,0,68.97
DEMO-000115,2024-05-20,2024,5,May,Q2,Monday,16,0,"Los Angeles, CA",West,Large,Model 3,LOS-MOD-08,40240,Fleet/Business Buyer,56,0.824,1,0.2346,13.0,4.0,40240,73.15
DEMO-000116,2024-12-28,2024,12,December,Q4,Saturday,10,1,"Seattle, WA",Northwest,Medium,Model Y,SEA-MOD-01,43990,Cost Conscious,38,0.68,1,0.2017,10.0,3.8,43990,62.17
DEMO-000117,2024-04-27,2024,4,April,Q2,Saturday,13,1,"New York, NY",Northeast,Large,Model S,NEW-MOD-08,74990,Luxury Buyer,47,0.866,1,0.218,1.0,5.0,74990,78.78
DEMO-000118,2024-03-21,2024,3,March,Q1,Thursday,13,0,"Dallas, TX",South,Large,Model Y,DAL-MOD-06,43990,Luxury Buyer,45,0.84,0,0.1839,,3.3,0,70.33
DEMO-000119,2024-12-23,2024,12,December,Q4,Monday,13,0,"Seattle, WA",Northwest,Medium,Model Y,SEA-MOD-03,43990,Fleet/Business Buyer,63,0.568,0,0.3289,,3.5,0,52.89
DEMO-000120,2024-03-18,2024,3,March,Q1,Monday,11,0,"Denver, CO",Mountain,Medium,Model 3,DEN-MOD-08,40240,First Time EV,51,0.791,0,0.1757,,4.8,0,70.72
DEMO-000121,2024-11-19,2024,11,November,Q4,Tuesday,11,0,"Denver, CO",Mountain,Medium,Model Y,DEN-MOD-05,43990,Fleet/Business Buyer,50,0.848,0,0.2198,,4.3,0,59.08
DEMO-000122,2024-02-28,2024,2,February,Q1,Wednesday,13,0,"San Francisco, CA",West,Large,Model Y,SAN-MOD-02,43990,Luxury Buyer,47,0.758,0,0.2022,,4.1,0,63.51
DEMO-000123,2024-02-12,2024,2,February,Q1,Monday,13,0,"Seattle, WA",Northwest,Medium,Cybertruck,SEA-CYB-06,49890,Cost Conscious,70,0.753,0,0.1704,,4.1,0,83.31
DEMO-000124,2024-12-17,2024,12,December,Q4,Tuesday,19,0,"Chicago, IL",Midwest,Large,Model 3,CHI-MOD-01,40240,First Time EV,35,0.574,0,0.0916,,4.0,0,62.58
DEMO-000125,2024-10-16,2024,10,October,Q4,Wednesday,13,0,"Seattle, WA",Northwest,Medium,Model Y,SEA-MOD-01,43990,Eco Conscious,54,0.845,0,0.3363,,4.4,0,47.64
DEMO-000126,2024-09-15,2024,9,September,Q3,Sunday,16,1,"San Francisco, CA",West,Large,Model Y,SAN-MOD-03,43990,Eco Conscious,42,0.617,0,0.3635,,4.2,0,50.66
DEMO-000127,2025-11-09,2025,11,November,Q4,Sunday,13,1,"Miami, FL",Southeast,Large,Model Y,MIA-MOD-05,43990,Cost Conscious,54,0.729,0,0.1177,,4.4,0,58.14
DEMO-000128,2025-12-02,2025,12,December,Q4,Tuesday,18,0,"Phoenix, AZ",Southwest,Medium,Model S,PHO-MOD-06,74990,First Time EV,53,0.459,0,0.087,,3.8,0,83.05
DEMO-000129,2024-08-19,2024,8,August,Q3,Monday,19,0,"Miami, FL",Southeast,Large,Cybertruck,MIA-CYB-02,49890,Luxury Buyer,61,0.704,0,0.179,,4.2,0,74.55
DEMO-000130,2025-09-24,2025,9,September,Q3,Wednesday,11,0,"Seattle, WA",Northwest,Medium,Model 3,SEA-MOD-03,40240,Eco Conscious,37,0.811,1,0.2584,2.0,3.8,40240,73.78
DEMO-000131,2025-04-04,2025,4,April,Q2,Friday,12,0,"Chicago, IL",Midwest,Large,Model Y,CHI-MOD-08,43990,First Time EV,56,0.902,0,0.1329,,3.5,0,72.13
DEMO-000132,2024-10-15,2024,10,October,Q4,Tuesday,16,0,"Denver, CO",Mountain,Medium,Cybertruck,DEN-CYB-03,49890,Luxury Buyer,55,0.858,0,0.2671,,4.6,0,50.54
DEMO-000133,2025-01-15,2025,1,January,Q1,Wednesday,14,0,"Austin, TX",South,Medium,Model 3,AUS-MOD-02,40240,Luxury Buyer,46,0.593,0,0.1435,,4.6,0,55.91
